REGION,CYCLONE_ID,LON_TCIR,LAT_TCIR,TIME,WIND_KTS,SIZE,PRESSURE_MB,USA_ATCF_ID,ISO_TIME,SID,LAT_IBTRACS,LON_IBTRACS,USA_WIND,USA_PRES
ATLN,200301L,-62.3,29.4,2003-04-21 21:00:00,50.0,0.0,994.0,AL012003,2003-04-21 21:00:00,2003108N29294,29.3,-62.3,50,994
ATLN,200301L,-58.5,29.6,2003-04-22 12:00:00,45.0,0.0,995.0,AL012003,2003-04-22 12:00:00,2003108N29294,29.6,-58.5,45,995
ATLN,200301L,-57.5,29.6,2003-04-22 15:00:00,45.0,0.0,996.0,AL012003,2003-04-22 15:00:00,2003108N29294,29.6,-57.6,45,996
ATLN,200301L,-56.6,29.7,2003-04-22 18:00:00,45.0,0.0,996.0,AL012003,2003-04-22 18:00:00,2003108N29294,29.7,-56.6,45,996
ATLN,200301L,-55.7,29.9,2003-04-22 21:00:00,43.0,0.0,997.0,AL012003,2003-04-22 21:00:00,2003108N29294,29.8,-55.6,43,997
ATLN,200301L,-52.3,31.0,2003-04-23 09:00:00,40.0,0.0,1000.0,AL012003,2003-04-23 09:00:00,2003108N29294,31.0,-52.2,40,1000
ATLN,200301L,-51.5,31.4,2003-04-23 12:00:00,40.0,0.0,1000.0,AL012003,2003-04-23 12:00:00,2003108N29294,31.4,-51.5,40,1000
ATLN,200301L,-51.0,31.6,2003-04-23 15:00:00,38.0,0.0,1001.0,AL012003,2003-04-23 15:00:00,2003108N29294,31.7,-51.0,38,1001
ATLN,200301L,-50.6,31.9,2003-04-23 18:00:00,35.0,0.0,1001.0,AL012003,2003-04-23 18:00:00,2003108N29294,31.9,-50.6,35,1001
ATLN,200301L,-50.1,32.0,2003-04-23 21:00:00,35.0,0.0,1002.0,AL012003,2003-04-23 21:00:00,2003108N29294,32.0,-50.1,35,1002
ATLN,200301L,-48.3,31.9,2003-04-24 09:00:00,35.0,0.0,1005.0,AL012003,2003-04-24 09:00:00,2003108N29294,31.9,-48.3,35,1005
ATLN,200301L,-47.8,31.8,2003-04-24 12:00:00,35.0,0.0,1005.0,AL012003,2003-04-24 12:00:00,2003108N29294,31.8,-47.8,35,1005
ATLN,200301L,-47.2,31.6,2003-04-24 15:00:00,35.0,0.0,1005.0,AL012003,2003-04-24 15:00:00,2003108N29294,31.6,-47.2,35,1005
ATLN,200301L,-46.6,31.5,2003-04-24 18:00:00,35.0,0.0,1005.0,AL012003,2003-04-24 18:00:00,2003108N29294,31.5,-46.6,35,1005
ATLN,200301L,-46.0,31.5,2003-04-24 21:00:00,35.0,0.0,1005.0,AL012003,2003-04-24 21:00:00,2003108N29294,31.5,-46.0,35,1005
ATLN,200301L,-43.7,31.6,2003-04-25 09:00:00,33.0,0.0,1004.0,AL012003,2003-04-25 09:00:00,2003108N29294,31.6,-43.6,33,1004
ATLN,200301L,-43.1,31.7,2003-04-25 12:00:00,30.0,0.0,1003.0,AL012003,2003-04-25 12:00:00,2003108N29294,31.7,-43.1,30,1003
ATLN,200301L,-42.6,31.8,2003-04-25 15:00:00,30.0,0.0,1004.0,AL012003,2003-04-25 15:00:00,2003108N29294,31.7,-42.6,30,1004
ATLN,200301L,-42.1,31.8,2003-04-25 18:00:00,30.0,0.0,1004.0,AL012003,2003-04-25 18:00:00,2003108N29294,31.8,-42.1,30,1004
ATLN,200301L,-41.5,31.9,2003-04-25 21:00:00,30.0,0.0,1005.0,AL012003,2003-04-25 21:00:00,2003108N29294,31.8,-41.6,30,1005
ATLN,200301L,-37.0,32.6,2003-04-26 09:00:00,35.0,0.0,1002.0,AL012003,2003-04-26 09:00:00,2003108N29294,32.6,-37.0,35,1002
ATLN,200301L,-35.6,32.9,2003-04-26 12:00:00,35.0,0.0,1002.0,AL012003,2003-04-26 12:00:00,2003108N29294,32.9,-35.6,35,1002
ATLN,200301L,-34.2,33.3,2003-04-26 15:00:00,38.0,0.0,1002.0,AL012003,2003-04-26 15:00:00,2003108N29294,33.2,-34.3,38,1002
ATLN,200301L,-32.8,33.6,2003-04-26 18:00:00,40.0,0.0,1002.0,AL012003,2003-04-26 18:00:00,2003108N29294,33.6,-32.8,40,1002
ATLN,200301L,-24.1,35.7,2003-04-27 09:00:00,40.0,0.0,1000.0,AL012003,2003-04-27 09:00:00,2003108N29294,35.7,-24.1,40,1000
ATLN,200301L,-22.4,36.1,2003-04-27 12:00:00,40.0,0.0,1000.0,AL012003,2003-04-27 12:00:00,2003108N29294,36.1,-22.4,40,1000
ATLN,200302L,-43.4,9.6,2003-06-11 09:00:00,30.0,0.0,1008.0,AL022003,2003-06-11 09:00:00,2003162N10319,9.7,-43.3,30,1008
ATLN,200302L,-44.2,9.7,2003-06-11 12:00:00,30.0,0.0,1008.0,AL022003,2003-06-11 12:00:00,2003162N10319,9.7,-44.2,30,1008
ATLN,200302L,-45.0,9.7,2003-06-11 15:00:00,30.0,0.0,1009.0,AL022003,2003-06-11 15:00:00,2003162N10319,9.7,-45.1,30,1009
ATLN,200302L,-45.9,9.7,2003-06-11 18:00:00,30.0,0.0,1010.0,AL022003,2003-06-11 18:00:00,2003162N10319,9.7,-45.9,30,1010
ATLN,200303L,-89.3,20.0,2003-06-28 12:00:00,20.0,0.0,1008.0,AL032003,2003-06-28 12:00:00,2003179N20271,20.0,-89.3,20,1008
ATLN,200303L,-89.3,20.1,2003-06-28 15:00:00,20.0,0.0,1008.0,AL032003,2003-06-28 15:00:00,2003179N20271,20.1,-89.3,20,1008
ATLN,200303L,-89.4,20.3,2003-06-28 18:00:00,20.0,0.0,1008.0,AL032003,2003-06-28 18:00:00,2003179N20271,20.3,-89.4,20,1008
ATLN,200303L,-89.6,20.6,2003-06-28 21:00:00,20.0,0.0,1008.0,AL032003,2003-06-28 21:00:00,2003179N20271,20.6,-89.6,20,1008
ATLN,200303L,-89.8,21.0,2003-06-29 00:00:00,20.0,0.0,1008.0,AL032003,2003-06-29 00:00:00,2003179N20271,21.0,-89.8,20,1008
ATLN,200303L,-90.5,23.4,2003-06-29 12:00:00,35.0,0.0,1007.0,AL032003,2003-06-29 12:00:00,2003179N20271,23.4,-90.5,35,1007
ATLN,200303L,-90.8,24.0,2003-06-29 15:00:00,38.0,0.0,1008.0,AL032003,2003-06-29 15:00:00,2003179N20271,24.0,-90.8,38,1008
ATLN,200303L,-91.1,24.6,2003-06-29 18:00:00,40.0,0.0,1009.0,AL032003,2003-06-29 18:00:00,2003179N20271,24.6,-91.1,40,1009
ATLN,200303L,-91.2,25.3,2003-06-29 21:00:00,43.0,0.0,1009.0,AL032003,2003-06-29 21:00:00,2003179N20271,25.2,-91.2,43,1009
ATLN,200303L,-91.3,25.9,2003-06-30 00:00:00,45.0,0.0,1008.0,AL032003,2003-06-30 00:00:00,2003179N20271,25.9,-91.3,45,1008
ATLN,200303L,-91.5,28.2,2003-06-30 12:00:00,50.0,0.0,1002.0,AL032003,2003-06-30 12:00:00,2003179N20271,28.2,-91.5,50,1002
ATLN,200303L,-91.3,28.6,2003-06-30 15:00:00,50.0,0.0,1000.0,AL032003,2003-06-30 15:00:00,2003179N20271,28.6,-91.2,50,1000
ATLN,200303L,-91.0,29.1,2003-06-30 18:00:00,50.0,0.0,997.0,AL032003,2003-06-30 18:00:00,2003179N20271,29.1,-91.0,50,997
ATLN,200303L,-90.7,29.8,2003-06-30 21:00:00,48.0,0.0,998.0,AL032003,2003-06-30 21:00:00,2003179N20271,29.7,-90.8,48,997
ATLN,200303L,-90.3,30.4,2003-07-01 00:00:00,45.0,0.0,998.0,AL032003,2003-07-01 00:00:00,2003179N20271,30.4,-90.3,45,998
ATLN,200303L,-88.4,32.7,2003-07-01 12:00:00,25.0,0.0,1004.0,AL032003,2003-07-01 12:00:00,2003179N20271,32.7,-88.4,25,1004
ATLN,200303L,-87.7,33.2,2003-07-01 15:00:00,23.0,0.0,1006.0,AL032003,2003-07-01 15:00:00,2003179N20271,33.2,-87.7,23,1006
ATLN,200303L,-87.0,33.6,2003-07-01 18:00:00,20.0,0.0,1007.0,AL032003,2003-07-01 18:00:00,2003179N20271,33.6,-87.0,20,1007
ATLN,200303L,-86.5,33.9,2003-07-01 21:00:00,20.0,0.0,1007.0,AL032003,2003-07-01 21:00:00,2003179N20271,33.8,-86.5,20,1007
ATLN,200303L,-86.0,34.1,2003-07-02 00:00:00,20.0,0.0,1007.0,AL032003,2003-07-02 00:00:00,2003179N20271,34.1,-86.0,20,1007
ATLN,200303L,-83.5,35.6,2003-07-02 12:00:00,20.0,0.0,1009.0,AL032003,2003-07-02 12:00:00,2003179N20271,35.6,-83.5,20,1009
ATLN,200303L,-82.8,36.0,2003-07-02 15:00:00,20.0,0.0,1009.0,AL032003,2003-07-02 15:00:00,2003179N20271,36.0,-82.9,20,1009
ATLN,200303L,-82.0,36.5,2003-07-02 18:00:00,20.0,0.0,1009.0,AL032003,2003-07-02 18:00:00,2003179N20271,36.5,-82.0,20,1009
ATLN,200303L,-80.8,36.9,2003-07-02 21:00:00,20.0,0.0,1009.0,AL032003,2003-07-02 21:00:00,2003179N20271,36.9,-80.8,20,1009
ATLN,200303L,-79.5,37.3,2003-07-03 00:00:00,20.0,0.0,1009.0,AL032003,2003-07-03 00:00:00,2003179N20271,37.3,-79.5,20,1009
ATLN,200304L,-57.5,12.6,2003-07-07 12:00:00,30.0,0.0,1010.0,AL042003,2003-07-07 12:00:00,2003188N11307,12.6,-57.5,30,1010
ATLN,200304L,-58.6,12.9,2003-07-07 15:00:00,33.0,0.0,1010.0,AL042003,2003-07-07 15:00:00,2003188N11307,12.9,-58.7,33,1010
ATLN,200304L,-59.8,13.2,2003-07-07 18:00:00,35.0,0.0,1010.0,AL042003,2003-07-07 18:00:00,2003188N11307,13.2,-59.8,35,1010
ATLN,200304L,-60.9,13.4,2003-07-07 21:00:00,35.0,0.0,1010.0,AL042003,2003-07-07 21:00:00,2003188N11307,13.5,-60.9,35,1010
ATLN,200304L,-67.6,14.4,2003-07-08 12:00:00,40.0,0.0,1009.0,AL042003,2003-07-08 12:00:00,2003188N11307,14.4,-67.6,40,1009
ATLN,200304L,-68.8,14.6,2003-07-08 15:00:00,43.0,0.0,1008.0,AL042003,2003-07-08 15:00:00,2003188N11307,14.6,-68.9,43,1008
ATLN,200304L,-70.0,14.8,2003-07-08 18:00:00,45.0,0.0,1006.0,AL042003,2003-07-08 18:00:00,2003188N11307,14.8,-70.0,45,1006
ATLN,200304L,-71.0,14.9,2003-07-08 21:00:00,48.0,0.0,1004.0,AL042003,2003-07-08 21:00:00,2003188N11307,14.9,-71.0,48,1004
ATLN,200304L,-76.5,15.3,2003-07-09 12:00:00,55.0,0.0,1004.0,AL042003,2003-07-09 12:00:00,2003188N11307,15.3,-76.5,55,1004
ATLN,200304L,-77.5,15.6,2003-07-09 15:00:00,55.0,0.0,1003.0,AL042003,2003-07-09 15:00:00,2003188N11307,15.5,-77.6,55,1003
ATLN,200304L,-79.4,16.0,2003-07-09 21:00:00,55.0,0.0,1002.0,AL042003,2003-07-09 21:00:00,2003188N11307,15.9,-79.5,55,1002
ATLN,200304L,-80.3,16.1,2003-07-10 00:00:00,55.0,0.0,1002.0,AL042003,2003-07-10 00:00:00,2003188N11307,16.1,-80.3,55,1002
ATLN,200304L,-82.8,17.5,2003-07-10 12:00:00,70.0,0.0,988.0,AL042003,2003-07-10 12:00:00,2003188N11307,17.5,-82.8,70,988
ATLN,200304L,-83.4,18.1,2003-07-10 15:00:00,63.0,0.0,996.0,AL042003,2003-07-10 15:00:00,2003188N11307,18.0,-83.4,63,996
ATLN,200304L,-84.1,18.6,2003-07-10 18:00:00,55.0,0.0,1003.0,AL042003,2003-07-10 18:00:00,2003188N11307,18.6,-84.1,55,1003
ATLN,200304L,-84.8,19.1,2003-07-10 21:00:00,53.0,0.0,1007.0,AL042003,2003-07-10 21:00:00,2003188N11307,19.2,-84.8,53,1007
ATLN,200304L,-85.5,19.7,2003-07-11 00:00:00,50.0,0.0,1010.0,AL042003,2003-07-11 00:00:00,2003188N11307,19.7,-85.5,50,1010
ATLN,200304L,-87.2,21.1,2003-07-11 12:00:00,50.0,0.0,1009.0,AL042003,2003-07-11 12:00:00,2003188N11307,21.1,-87.2,50,1009
ATLN,200304L,-87.7,21.5,2003-07-11 15:00:00,48.0,0.0,1009.0,AL042003,2003-07-11 15:00:00,2003188N11307,21.5,-87.7,48,1009
ATLN,200304L,-88.2,21.8,2003-07-11 18:00:00,45.0,0.0,1009.0,AL042003,2003-07-11 18:00:00,2003188N11307,21.8,-88.2,45,1009
ATLN,200304L,-88.7,22.2,2003-07-11 21:00:00,45.0,0.0,1009.0,AL042003,2003-07-11 21:00:00,2003188N11307,22.2,-88.7,45,1009
ATLN,200304L,-89.2,22.6,2003-07-12 00:00:00,45.0,0.0,1008.0,AL042003,2003-07-12 00:00:00,2003188N11307,22.6,-89.2,45,1008
ATLN,200304L,-90.7,23.9,2003-07-12 12:00:00,45.0,0.0,1006.0,AL042003,2003-07-12 12:00:00,2003188N11307,23.9,-90.7,45,1006
ATLN,200304L,-90.8,24.3,2003-07-12 15:00:00,45.0,0.0,1007.0,AL042003,2003-07-12 15:00:00,2003188N11307,24.3,-90.8,45,1007
ATLN,200304L,-90.9,24.6,2003-07-12 18:00:00,45.0,0.0,1008.0,AL042003,2003-07-12 18:00:00,2003188N11307,24.6,-90.9,45,1008
ATLN,200304L,-91.2,24.8,2003-07-12 21:00:00,45.0,0.0,1006.0,AL042003,2003-07-12 21:00:00,2003188N11307,24.8,-91.2,45,1006
ATLN,200304L,-91.5,24.9,2003-07-13 00:00:00,45.0,0.0,1003.0,AL042003,2003-07-13 00:00:00,2003188N11307,24.9,-91.5,45,1003
ATLN,200304L,-92.1,25.1,2003-07-13 12:00:00,50.0,0.0,999.0,AL042003,2003-07-13 12:00:00,2003188N11307,25.1,-92.1,50,999
ATLN,200304L,-92.2,25.2,2003-07-13 15:00:00,50.0,0.0,997.0,AL042003,2003-07-13 15:00:00,2003188N11307,25.2,-92.2,50,997
ATLN,200304L,-92.2,25.3,2003-07-13 18:00:00,50.0,0.0,995.0,AL042003,2003-07-13 18:00:00,2003188N11307,25.3,-92.2,50,995
ATLN,200304L,-92.2,25.5,2003-07-13 21:00:00,53.0,0.0,993.0,AL042003,2003-07-13 21:00:00,2003188N11307,25.4,-92.2,53,993
ATLN,200304L,-92.2,25.6,2003-07-14 00:00:00,55.0,0.0,991.0,AL042003,2003-07-14 00:00:00,2003188N11307,25.6,-92.2,55,991
ATLN,200304L,-92.6,26.7,2003-07-14 12:00:00,55.0,0.0,991.0,AL042003,2003-07-14 12:00:00,2003188N11307,26.7,-92.6,55,991
ATLN,200304L,-92.8,27.0,2003-07-14 15:00:00,58.0,0.0,990.0,AL042003,2003-07-14 15:00:00,2003188N11307,27.0,-92.8,58,990
ATLN,200304L,-93.0,27.3,2003-07-14 18:00:00,60.0,0.0,989.0,AL042003,2003-07-14 18:00:00,2003188N11307,27.3,-93.0,60,989
ATLN,200304L,-93.3,27.5,2003-07-14 21:00:00,60.0,0.0,989.0,AL042003,2003-07-14 21:00:00,2003188N11307,27.5,-93.3,60,989
ATLN,200304L,-93.6,27.7,2003-07-15 00:00:00,60.0,0.0,988.0,AL042003,2003-07-15 00:00:00,2003188N11307,27.7,-93.6,60,988
ATLN,200304L,-95.5,28.3,2003-07-15 12:00:00,75.0,0.0,982.0,AL042003,2003-07-15 12:00:00,2003188N11307,28.3,-95.5,75,982
ATLN,200304L,-96.2,28.5,2003-07-15 15:00:00,73.0,0.0,983.0,AL042003,2003-07-15 15:00:00,2003188N11307,28.3,-96.1,79,979
ATLN,200304L,-96.9,28.6,2003-07-15 18:00:00,70.0,0.0,984.0,AL042003,2003-07-15 18:00:00,2003188N11307,28.6,-96.9,70,984
ATLN,200304L,-97.6,28.6,2003-07-15 21:00:00,60.0,0.0,990.0,AL042003,2003-07-15 21:00:00,2003188N11307,28.6,-97.6,60,990
ATLN,200304L,-98.2,28.5,2003-07-16 00:00:00,50.0,0.0,995.0,AL042003,2003-07-16 00:00:00,2003188N11307,28.5,-98.2,50,995
ATLN,200304L,-101.7,29.1,2003-07-16 15:00:00,35.0,0.0,1005.0,AL042003,2003-07-16 15:00:00,2003188N11307,29.0,-101.7,35,1005
ATLN,200304L,-102.6,29.3,2003-07-16 18:00:00,35.0,0.0,1007.0,AL042003,2003-07-16 18:00:00,2003188N11307,29.3,-102.6,35,1007
ATLN,200304L,-103.4,29.6,2003-07-16 21:00:00,33.0,0.0,1011.0,AL042003,2003-07-16 21:00:00,2003188N11307,29.6,-103.5,33,1011
ATLN,200304L,-104.3,29.9,2003-07-17 00:00:00,30.0,0.0,1014.0,AL042003,2003-07-17 00:00:00,2003188N11307,29.9,-104.3,30,1014
ATLN,200305L,-54.1,30.8,2003-07-16 12:00:00,25.0,0.0,1017.0,AL052003,2003-07-16 12:00:00,2003198N31306,30.8,-54.1,25,1017
ATLN,200305L,-54.4,31.3,2003-07-16 15:00:00,28.0,0.0,1016.0,AL052003,2003-07-16 15:00:00,2003198N31306,31.3,-54.4,28,1016
ATLN,200305L,-54.7,31.7,2003-07-16 18:00:00,30.0,0.0,1015.0,AL052003,2003-07-16 18:00:00,2003198N31306,31.7,-54.7,30,1015
ATLN,200305L,-55.0,32.1,2003-07-16 21:00:00,33.0,0.0,1014.0,AL052003,2003-07-16 21:00:00,2003198N31306,32.1,-55.0,33,1014
ATLN,200305L,-56.0,33.9,2003-07-17 09:00:00,48.0,0.0,1010.0,AL052003,2003-07-17 09:00:00,2003198N31306,33.9,-56.0,48,1010
ATLN,200305L,-56.4,34.4,2003-07-17 12:00:00,50.0,0.0,1009.0,AL052003,2003-07-17 12:00:00,2003198N31306,34.4,-56.4,50,1009
ATLN,200305L,-56.5,34.8,2003-07-17 15:00:00,53.0,0.0,1009.0,AL052003,2003-07-17 15:00:00,2003198N31306,34.9,-56.6,53,1009
ATLN,200305L,-56.6,35.3,2003-07-17 18:00:00,55.0,0.0,1008.0,AL052003,2003-07-17 18:00:00,2003198N31306,35.3,-56.6,55,1008
ATLN,200305L,-56.5,35.8,2003-07-17 21:00:00,55.0,0.0,1008.0,AL052003,2003-07-17 21:00:00,2003198N31306,35.7,-56.5,55,1008
ATLN,200305L,-55.5,37.6,2003-07-18 09:00:00,58.0,0.0,1005.0,AL052003,2003-07-18 09:00:00,2003198N31306,37.6,-55.5,58,1005
ATLN,200305L,-54.9,38.1,2003-07-18 12:00:00,60.0,0.0,1003.0,AL052003,2003-07-18 12:00:00,2003198N31306,38.1,-54.9,60,1003
ATLN,200305L,-54.1,38.7,2003-07-18 15:00:00,63.0,0.0,1003.0,AL052003,2003-07-18 15:00:00,2003198N31306,38.7,-54.2,63,1003
ATLN,200305L,-53.4,39.2,2003-07-18 18:00:00,65.0,0.0,1002.0,AL052003,2003-07-18 18:00:00,2003198N31306,39.2,-53.4,65,1002
ATLN,200305L,-52.5,39.7,2003-07-18 21:00:00,65.0,0.0,1002.0,AL052003,2003-07-18 21:00:00,2003198N31306,39.7,-52.6,65,1002
ATLN,200305L,-48.9,41.6,2003-07-19 09:00:00,65.0,0.0,1001.0,AL052003,2003-07-19 09:00:00,2003198N31306,41.6,-48.9,65,1001
ATLN,200305L,-47.8,42.1,2003-07-19 12:00:00,65.0,0.0,1001.0,AL052003,2003-07-19 12:00:00,2003198N31306,42.1,-47.8,65,1001
ATLN,200305L,-46.8,42.4,2003-07-19 15:00:00,63.0,0.0,1002.0,AL052003,2003-07-19 15:00:00,2003198N31306,42.5,-46.8,63,1002
ATLN,200305L,-45.8,42.7,2003-07-19 18:00:00,60.0,0.0,1003.0,AL052003,2003-07-19 18:00:00,2003198N31306,42.7,-45.8,60,1003
ATLN,200305L,-44.9,42.7,2003-07-19 21:00:00,58.0,0.0,1004.0,AL052003,2003-07-19 21:00:00,2003198N31306,42.8,-44.9,58,1004
ATLN,200305L,-41.5,42.2,2003-07-20 09:00:00,43.0,0.0,1008.0,AL052003,2003-07-20 09:00:00,2003198N31306,42.3,-41.5,43,1008
ATLN,200305L,-40.7,41.9,2003-07-20 12:00:00,40.0,0.0,1008.0,AL052003,2003-07-20 12:00:00,2003198N31306,41.9,-40.7,40,1008
ATLN,200305L,-40.0,41.4,2003-07-20 15:00:00,35.0,0.0,1009.0,AL052003,2003-07-20 15:00:00,2003198N31306,41.4,-39.9,35,1009
ATLN,200305L,-39.2,40.9,2003-07-20 18:00:00,30.0,0.0,1009.0,AL052003,2003-07-20 18:00:00,2003198N31306,40.9,-39.2,30,1009
ATLN,200305L,-38.5,40.3,2003-07-20 21:00:00,30.0,0.0,1009.0,AL052003,2003-07-20 21:00:00,2003198N31306,40.3,-38.5,30,1009
ATLN,200305L,-36.5,38.3,2003-07-21 09:00:00,28.0,0.0,1011.0,AL052003,2003-07-21 09:00:00,2003198N31306,38.3,-36.5,28,1011
ATLN,200305L,-36.3,37.9,2003-07-21 12:00:00,25.0,0.0,1011.0,AL052003,2003-07-21 12:00:00,2003198N31306,37.9,-36.3,25,1011
ATLN,200305L,-36.1,37.5,2003-07-21 15:00:00,25.0,0.0,1012.0,AL052003,2003-07-21 15:00:00,2003198N31306,37.5,-36.1,25,1012
ATLN,200305L,-35.9,37.1,2003-07-21 18:00:00,25.0,0.0,1013.0,AL052003,2003-07-21 18:00:00,2003198N31306,37.1,-35.9,25,1013
ATLN,200305L,-35.8,36.7,2003-07-21 21:00:00,25.0,0.0,1014.0,AL052003,2003-07-21 21:00:00,2003198N31306,36.7,-35.8,25,1014
ATLN,200305L,-36.5,35.5,2003-07-22 09:00:00,25.0,0.0,1018.0,AL052003,2003-07-22 09:00:00,2003198N31306,35.5,-36.4,25,1018
ATLN,200305L,-36.7,35.3,2003-07-22 12:00:00,25.0,0.0,1018.0,AL052003,2003-07-22 12:00:00,2003198N31306,35.3,-36.7,25,1018
ATLN,200305L,-37.0,35.2,2003-07-22 15:00:00,25.0,0.0,1019.0,AL052003,2003-07-22 15:00:00,2003198N31306,35.2,-36.9,25,1019
ATLN,200305L,-37.2,35.1,2003-07-22 18:00:00,25.0,0.0,1019.0,AL052003,2003-07-22 18:00:00,2003198N31306,35.1,-37.2,25,1019
ATLN,200305L,-37.5,35.0,2003-07-22 21:00:00,23.0,0.0,1020.0,AL052003,2003-07-22 21:00:00,2003198N31306,35.0,-37.5,23,1020
ATLN,200305L,-38.8,35.2,2003-07-23 09:00:00,20.0,0.0,1020.0,AL052003,2003-07-23 09:00:00,2003198N31306,35.2,-38.8,20,1020
ATLN,200305L,-39.0,35.5,2003-07-23 12:00:00,20.0,0.0,1020.0,AL052003,2003-07-23 12:00:00,2003198N31306,35.5,-39.0,20,1020
ATLN,200305L,-39.5,35.8,2003-07-23 15:00:00,20.0,0.0,1020.0,AL052003,2003-07-23 15:00:00,2003198N31306,35.8,-39.5,20,1020
ATLN,200305L,-40.0,36.0,2003-07-23 18:00:00,20.0,0.0,1020.0,AL052003,2003-07-23 18:00:00,2003198N31306,36.0,-40.0,20,1020
ATLN,200305L,-40.3,36.0,2003-07-23 21:00:00,20.0,0.0,1021.0,AL052003,2003-07-23 21:00:00,2003198N31306,36.0,-40.3,20,1021
ATLN,200305L,-40.3,36.5,2003-07-24 09:00:00,20.0,0.0,1021.0,AL052003,2003-07-24 09:00:00,2003198N31306,36.6,-40.3,20,1021
ATLN,200305L,-40.0,36.5,2003-07-24 12:00:00,20.0,0.0,1021.0,AL052003,2003-07-24 12:00:00,2003198N31306,36.5,-40.0,20,1021
ATLN,200305L,-39.8,36.5,2003-07-24 15:00:00,20.0,0.0,1021.0,AL052003,2003-07-24 15:00:00,2003198N31306,36.4,-39.8,20,1021
ATLN,200305L,-39.5,36.4,2003-07-24 18:00:00,20.0,0.0,1021.0,AL052003,2003-07-24 18:00:00,2003198N31306,36.4,-39.5,20,1021
ATLN,200305L,-39.2,36.5,2003-07-24 21:00:00,20.0,0.0,1022.0,AL052003,2003-07-24 21:00:00,2003198N31306,36.5,-39.1,20,1022
ATLN,200305L,-39.1,36.1,2003-07-25 09:00:00,20.0,0.0,1022.0,AL052003,2003-07-25 09:00:00,2003198N31306,36.2,-39.1,20,1022
ATLN,200305L,-39.0,36.0,2003-07-25 12:00:00,20.0,0.0,1022.0,AL052003,2003-07-25 12:00:00,2003198N31306,36.0,-39.0,20,1022
ATLN,200305L,-39.0,35.8,2003-07-25 15:00:00,20.0,0.0,1022.0,AL052003,2003-07-25 15:00:00,2003198N31306,35.8,-38.9,20,1022
ATLN,200305L,-39.0,35.5,2003-07-25 18:00:00,20.0,0.0,1022.0,AL052003,2003-07-25 18:00:00,2003198N31306,35.5,-39.0,20,1022
ATLN,200305L,-39.3,35.0,2003-07-25 21:00:00,20.0,0.0,1023.0,AL052003,2003-07-25 21:00:00,2003198N31306,35.0,-39.2,20,1023
ATLN,200305L,-40.3,33.4,2003-07-26 09:00:00,20.0,0.0,1023.0,AL052003,2003-07-26 09:00:00,2003198N31306,33.4,-40.2,20,1023
ATLN,200305L,-40.5,33.0,2003-07-26 12:00:00,20.0,0.0,1023.0,AL052003,2003-07-26 12:00:00,2003198N31306,33.0,-40.5,20,1023
